code,positive,hosp,icu,death,postal,population,map
A,108355,18235,1350,3696,03,1881762,5758.167079577544
AB,29224,5259,490,1183,02,386464,7561.8945102260495
AL,29194,3989,441,1202,04,731792,3989.3849618470826
AV,16980,2662,117,724,05,158421,10718.2759861382
B,390741,39311,2734,15475,08,5714730,6837.435889359603
BA,49632,5328,302,1390,06,669943,7408.391460168999
BI,102500,11781,865,3961,48,1154334,8879.579047312129
BU,33172,5540,319,1268,09,356055,9316.538175281908
C,85155,11745,1382,1679,15,1120134,7602.215449223039
CA,45011,5893,497,1755,11,1245960,3612.555780281871
CC,35053,3410,211,1195,10,389558,8998.146617448492
CE,4101,486,44,174,51,83517,4910.3775279284455
CO,40826,6063,494,1553,14,776789,5255.738688369685
CR,40350,7541,380,2001,13,492591,8191.379866867239
CS,41889,5944,499,1207,12,587064,7135.337884796206
CU,19985,4291,195,787,16,195516,10221.669837762638
GC,56912,4406,761,911,35,1128539,5042.980348929013
GI,49733,2696,195,1954,17,786596,6322.559484157052
GR,44819,8290,717,2094,18,921338,4864.555678806258
GU,18001,3697,238,837,19,265588,6777.791165263491
H,21957,3334,181,525,21,525835,4175.644451206177
HU,20145,2582,258,857,22,224264,8982.71679805943
J,35309,5279,330,1495,23,627190,5629.713483952231
L,35184,1555,94,978,25,439727,8001.328096750938
LE,47357,7733,385,1198,24,451706,10484.031648904374
LO,31493,4041,338,926,26,319796,9847.840498317679
LU,27256,3575,265,437,27,326013,8360.402806023072
M,453683,98725,7275,20120,28,6751251,6719.9841925592755
MA,66376,10629,761,2586,29,1695651,3914.4847613099632
ML,4353,747,114,147,52,86261,5046.31293400262
MU,94725,11169,1090,2409,30,1518486,6238.121391965418
NC,10534,1545,151,245,NC,1,1053400000.0
O,82132,14138,837,3392,33,1011792,8117.478691272514
OR,33248,4886,305,659,32,305223,10893.01920235369
P,21793,3447,227,672,34,159123,13695.694525618546
PM,59110,6773,820,1558,07,1173008,5039.181318456481
PO,64983,8728,782,1223,36,944275,6881.787614836779
S,44709,5331,545,957,39,584507,7649.010191494713
SA,34849,5006,192,1318,37,327338,10646.18223365451
SE,65668,12471,903,3068,41,1947852,3371.3033639106047
SG,13113,2079,152,671,40,153663,8533.609261826205
SO,10126,1518,118,544,42,88747,11409.963153684068
SS,68968,4599,583,2719,20,726033,9499.292731873069
T,52059,3260,234,1656,43,822309,6330.8318405854725
TE,12626,1661,144,589,44,134545,9384.220892638152
TF,54841,5226,642,1175,38,1044405,5250.9323490408415
TO,54611,12329,737,2990,45,709403,7698.163103341823
V,173162,24000,1666,4993,46,2589312,6687.567971723763
VA,51502,8606,620,1958,47,519361,9916.41651953073
VI,28817,3204,252,1095,01,333626,8637.516260723085
Z,77059,12053,1052,3737,50,967452,7965.14969218111
ZA,20653,3271,169,785,49,168725,12240.628241220922
